"model_string","metric","score","imagenet_accuracy"
"ResNet50-RotNet_selfsupervised","CRSA",0.238128720893577,48.2
"convnext_large_classification","CRSA",0.243149109916857,84.292
"ResNet50-JigSaw-Goyal19_selfsupervised","CRSA",0.256946126486895,46.58
"ResNet50-MoCoV2-BS256_selfsupervised","CRSA",0.265504085415745,66.4
"ResNet50-JigSaw-P100_selfsupervised","CRSA",0.266665973391301,48.57
"pit_b_224_classification","CRSA",0.271826037119732,82.446
"tnt_s_patch16_224_classification","CRSA",0.280892948739733,81.52
"swin_large_patch4_window7_224_classification","CRSA",0.282725557536005,86.314
"ViT-L-CLIP-CC12M_slip","CRSA",0.283097475470675,69
"ViT-L-CLIP_slip","CRSA",0.28432126603456,81
"convit_tiny_classification","CRSA",0.286469732026108,73.114
"ViT-L-SLIP-CC12M_slip","CRSA",0.286828273345008,73.7
"vit_small_patch32_224_classification","CRSA",0.288815811224477,75.986
"vit_tiny_patch16_224_classification","CRSA",0.292787235092729,75.462
"ViT-S-CLIP_slip","CRSA",0.293342267701608,59.3
"ViT-B-CLIP_slip","CRSA",0.294206679038478,66.5
"swin_base_patch4_window7_224_classification","CRSA",0.296324883667926,85.248
"convnext_base_classification","CRSA",0.298370451706448,83.838
"regnetx_064_classification","CRSA",0.303055881890433,79.066
"deit_base_patch16_224_classification","CRSA",0.309274833725458,81.996
"vit_small_patch16_224_classification","CRSA",0.310563242421843,81.396
"ViT-L/14_clip","CRSA",0.314396265461297,83.9
"crossvit_base_240_classification","CRSA",0.314788230776295,82.216
"swin_tiny_patch4_window7_224_classification","CRSA",0.315281594122935,81.374
"ViT-L-SLIP_slip","CRSA",0.315422153636622,84.2
"vit_base_patch16_224_classification","CRSA",0.318719878774665,84.528
"jx_nest_tiny_classification","CRSA",0.319318911168437,81.42
"vit_large_patch16_224_classification","CRSA",0.31970548199914,85.838
"resnet101_classification","CRSA",0.321730457432903,81.932
"squeezenet1_0_classification","CRSA",0.322723104551099,58.092
"coat_lite_tiny_classification","CRSA",0.322903124063489,77.514
"resnet18_classification","CRSA",0.324664339591631,69.744
"ResNet50-ClusterFit-16K-RotNet_selfsupervised","CRSA",0.326249469829857,53.63
"ViT-L-SimCLR_slip","CRSA",0.327152378902608,84
"ResNet50-DeepClusterV2-2x224+6x96_selfsupervised","CRSA",0.329791786118654,75.18
"convnext_base_in22k_classification","CRSA",0.329927807227396,85.824
"dino_vitb16_selfsupervised","CRSA",0.330507749181776,78.2
"RegNet-128Gf-SEER_seer","CRSA",0.330694249834873,75.96
"ViT-S-SLIP_slip","CRSA",0.331338539671069,66.4
"xception_classification","CRSA",0.332479620839789,79.05
"RegNet-64Gf-SEER-INFT_seer","CRSA",0.33250550984887,84
"visformer_small_classification","CRSA",0.334100804761502,82.106
"vit_base_r50_s16_224_in21k_classification","CRSA",0.334441067885782,84.97
"ViT-B-SLIP_slip","CRSA",0.334595198955539,72.1
"ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised","CRSA",0.337453781311998,74.92
"alexnet_classification","CRSA",0.338324954990206,56.522
"ViT-S-SimCLR_slip","CRSA",0.339453470163235,58.1
"ViT-B-SimCLR_slip","CRSA",0.341172802777631,64
"RegNet-128Gf-SEER-INFT_seer","CRSA",0.341703498281458,84.5
"vgg16_classification","CRSA",0.341786478691858,71.59
"convmixer_768_32_classification","CRSA",0.34240654411404,80.164
"gmixer_24_224_classification","CRSA",0.343638077749623,78.036
"convit_base_classification","CRSA",0.34505962631262,82.286
"RN50_clip","CRSA",0.345875571518963,73.3
"resmlp_36_224_classification","CRSA",0.346077192820591,79.768
"resnet152_classification","CRSA",0.348755843158559,82.82
"mixer_b16_224_classification","CRSA",0.348874320187685,76.612
"ViT-B/32_clip","CRSA",0.349047116977608,76.1
"ViT-B/16_clip","CRSA",0.350411378306599,80.2
"mixer_l16_224_classification","CRSA",0.350827997602639,72.054
"RegNet-64Gf-SEER_seer","CRSA",0.35123101888529,75.25
"RegNet-32Gf-SEER_seer","CRSA",0.352421395952412,74.03
"convnext_large_in22k_classification","CRSA",0.353059432157135,86.636
"RN101_clip","CRSA",0.35317309169339,75.7
"ResNet50-PIRL_selfsupervised","CRSA",0.354787522151078,64.29
"skresnext50_32x4d_classification","CRSA",0.355387632629078,80.152
"shufflenet_v2_x1_0_classification","CRSA",0.357103687443078,60.552
"mobilenet_v2_classification","CRSA",0.357820482482453,71.878
"dino_resnet50_selfsupervised","CRSA",0.358136871302894,75.3
"dla34_classification","CRSA",0.358758579261343,74.62
"resmlp_big_24_224_classification","CRSA",0.361541200186061,81.032
"ResNet50-SimCLR_selfsupervised","CRSA",0.361619689289492,68.8
"RegNet-32Gf-SEER-INFT_seer","CRSA",0.361970473708285,83.4
"xcit_nano_12_p8_224_classification","CRSA",0.363516807787596,73.91
"poolformer_s36_classification","CRSA",0.3636489765994,81.418
"resmlp_12_224_classification","CRSA",0.364914539892309,76.656
"ResNet50-BarlowTwins-BS2048_selfsupervised","CRSA",0.36704799817766,71.8
"resmlp_24_224_classification","CRSA",0.368411515940519,79.382
"densenet121_classification","CRSA",0.368812779436822,75.584
"mnasnet1_0_classification","CRSA",0.368975838905901,67.734
"regnety_064_classification","CRSA",0.372330858512492,83.72
"resnet50_classification","CRSA",0.378881404661809,76.1
"seresnext50_32x4d_classification","CRSA",0.383631520019587,81.258
"vit_base_patch32_224_classification","CRSA",0.385180952115794,80.722
"xcit_nano_12_p16_224_classification","CRSA",0.392453915336771,69.954
"pit_ti_224_classification","CRSA",0.394388362950118,72.912
"resmlp_big_24_224_in22ft1k_classification","CRSA",0.394690777150952,84.394
"ghostnet_100_classification","CRSA",0.398520091000847,73.974
"cspresnet50_classification","CRSA",0.399676758956653,79.582
"nf_resnet50_classification","CRSA",0.400664952115988,80.654
"gmlp_s16_224_classification","CRSA",0.402046371536414,79.64
"mobilenetv3_large_100_classification","CRSA",0.412016541417,75.766
"inception_v3_classification","CRSA",0.416620290720153,77.438
"nfnet_l0_classification","CRSA",0.417204964333812,82.752
"hardcorenas_a_classification","CRSA",0.421924612226752,75.92
"efficientnet_b1_classification","CRSA",0.422370289084752,78.796
"levit_128_classification","CRSA",0.424757505187661,78.492
"efficientnet_b3_classification","CRSA",0.430582847816565,82.24
"hardcorenas_f_classification","CRSA",0.435452821789894,78.098
"ResNet50-JigSaw-Goyal19_selfsupervised","WRSA",0.564793138640511,46.58
"ResNet50-RotNet_selfsupervised","WRSA",0.572062263675848,48.2
"ResNet50-JigSaw-P100_selfsupervised","WRSA",0.577186795648082,48.57
"vit_tiny_patch16_224_classification","WRSA",0.589880898576647,75.462
"ResNet50-MoCoV2-BS256_selfsupervised","WRSA",0.610037999120178,66.4
"squeezenet1_0_classification","WRSA",0.622896447988761,58.092
"convit_tiny_classification","WRSA",0.628494206512124,73.114
"ResNet50-ClusterFit-16K-RotNet_selfsupervised","WRSA",0.630281749582237,53.63
"alexnet_classification","WRSA",0.63339324352131,56.522
"pit_b_224_classification","WRSA",0.637994466852614,82.446
"vit_small_patch32_224_classification","WRSA",0.638369873254185,75.986
"convit_base_classification","WRSA",0.638883090175434,82.286
"deit_base_patch16_224_classification","WRSA",0.639529915944539,81.996
"ViT-L-CLIP-CC12M_slip","WRSA",0.640342373786992,69
"vit_small_patch16_224_classification","WRSA",0.647296163299784,81.396
"vit_large_patch16_224_classification","WRSA",0.647621046112705,85.838
"resnet18_classification","WRSA",0.648354719706305,69.744
"convnext_large_classification","WRSA",0.653516812059427,84.292
"crossvit_base_240_classification","WRSA",0.654918666442799,82.216
"ViT-L-CLIP_slip","WRSA",0.655002821281638,81
"vit_base_patch16_224_classification","WRSA",0.657162896785366,84.528
"tnt_s_patch16_224_classification","WRSA",0.657387521482707,81.52
"shufflenet_v2_x1_0_classification","WRSA",0.660366000117106,60.552
"vit_base_patch32_224_classification","WRSA",0.660730880736759,80.722
"visformer_small_classification","WRSA",0.661018487752772,82.106
"xception_classification","WRSA",0.661419429960928,79.05
"resnet152_classification","WRSA",0.662221249270844,82.82
"pit_ti_224_classification","WRSA",0.662315711231154,72.912
"mixer_b16_224_classification","WRSA",0.662343797298573,76.612
"resnet101_classification","WRSA",0.663434311447176,81.932
"vit_base_r50_s16_224_in21k_classification","WRSA",0.663970854542014,84.97
"dla34_classification","WRSA",0.665072185179771,74.62
"skresnext50_32x4d_classification","WRSA",0.666463666026049,80.152
"vgg16_classification","WRSA",0.66760877801388,71.59
"mixer_l16_224_classification","WRSA",0.667711534985612,72.054
"jx_nest_tiny_classification","WRSA",0.667807231703633,81.42
"densenet121_classification","WRSA",0.667968763709029,75.584
"ViT-B-CLIP_slip","WRSA",0.668024171404883,66.5
"regnety_064_classification","WRSA",0.669790650866851,83.72
"ViT-S-CLIP_slip","WRSA",0.670207078589246,59.3
"ResNet50-PIRL_selfsupervised","WRSA",0.672243604079862,64.29
"coat_lite_tiny_classification","WRSA",0.672618455680976,77.514
"mnasnet1_0_classification","WRSA",0.673052513612464,67.734
"regnetx_064_classification","WRSA",0.673858365291194,79.066
"inception_v3_classification","WRSA",0.674591946293969,77.438
"resmlp_12_224_classification","WRSA",0.67463722969758,76.656
"seresnext50_32x4d_classification","WRSA",0.674712991800946,81.258
"convmixer_768_32_classification","WRSA",0.675434465808741,80.164
"convnext_base_classification","WRSA",0.675561003734044,83.838
"ghostnet_100_classification","WRSA",0.675593260595292,73.974
"mobilenet_v2_classification","WRSA",0.675674271570439,71.878
"mobilenetv3_large_100_classification","WRSA",0.676226726272867,75.766
"cspresnet50_classification","WRSA",0.676782479703953,79.582
"swin_tiny_patch4_window7_224_classification","WRSA",0.67829146416013,81.374
"swin_base_patch4_window7_224_classification","WRSA",0.678895864853623,85.248
"ResNet50-BarlowTwins-BS2048_selfsupervised","WRSA",0.679154468700829,71.8
"resnet50_classification","WRSA",0.680405447068476,76.1
"efficientnet_b3_classification","WRSA",0.681269729611084,82.24
"nfnet_l0_classification","WRSA",0.682639768390844,82.752
"ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised","WRSA",0.683680597954077,74.92
"gmixer_24_224_classification","WRSA",0.6837334720886,78.036
"dino_vitb16_selfsupervised","WRSA",0.684039464722449,78.2
"xcit_nano_12_p16_224_classification","WRSA",0.68465777648567,69.954
"hardcorenas_a_classification","WRSA",0.685037030009574,75.92
"poolformer_s36_classification","WRSA",0.685101452754617,81.418
"swin_large_patch4_window7_224_classification","WRSA",0.685112966446932,86.314
"resmlp_24_224_classification","WRSA",0.685586299821049,79.382
"dino_resnet50_selfsupervised","WRSA",0.686916802693139,75.3
"levit_128_classification","WRSA",0.687948373747472,78.492
"ViT-S-SimCLR_slip","WRSA",0.688482039895487,58.1
"ViT-S-SLIP_slip","WRSA",0.688661419493063,66.4
"hardcorenas_f_classification","WRSA",0.689066024979016,78.098
"RegNet-128Gf-SEER-INFT_seer","WRSA",0.689252316003368,84.5
"ResNet50-DeepClusterV2-2x224+6x96_selfsupervised","WRSA",0.68987910091454,75.18
"ViT-L-SimCLR_slip","WRSA",0.690094782212805,84
"gmlp_s16_224_classification","WRSA",0.690224548991095,79.64
"efficientnet_b1_classification","WRSA",0.691123208736203,78.796
"ViT-B-SimCLR_slip","WRSA",0.69144925266006,64
"nf_resnet50_classification","WRSA",0.691458182434738,80.654
"resmlp_36_224_classification","WRSA",0.691810130887914,79.768
"ViT-L-SLIP-CC12M_slip","WRSA",0.696148553354365,73.7
"resmlp_big_24_224_classification","WRSA",0.696506878161363,81.032
"xcit_nano_12_p8_224_classification","WRSA",0.696689486717848,73.91
"RegNet-64Gf-SEER-INFT_seer","WRSA",0.697451246034098,84
"RegNet-32Gf-SEER-INFT_seer","WRSA",0.697947767050315,83.4
"ResNet50-SimCLR_selfsupervised","WRSA",0.699473263615655,68.8
"ViT-L-SLIP_slip","WRSA",0.701492489172923,84.2
"convnext_base_in22k_classification","WRSA",0.702359390195972,85.824
"ViT-L/14_clip","WRSA",0.703746286411152,83.9
"RegNet-32Gf-SEER_seer","WRSA",0.704536060575759,74.03
"resmlp_big_24_224_in22ft1k_classification","WRSA",0.704889655525824,84.394
"convnext_large_in22k_classification","WRSA",0.705726131133814,86.636
"ViT-B-SLIP_slip","WRSA",0.70639757295833,72.1
"ViT-B/16_clip","WRSA",0.708478547506492,80.2
"ViT-B/32_clip","WRSA",0.709119710775104,76.1
"RegNet-128Gf-SEER_seer","WRSA",0.710837143560364,75.96
"RegNet-64Gf-SEER_seer","WRSA",0.711955047776726,75.25
"RN101_clip","WRSA",0.714726451660284,75.7
"RN50_clip","WRSA",0.717295340720887,73.3
